Symbol,DATE,CLOSE,Sector
ZEEL,2019-08-27,363.75,media_entmt
COALINDIA,2019-08-27,191.85,mining
ITC,2019-08-27,245.5,other
VEDL,2019-08-27,138.1,mining
EICHERMOT,2019-08-27,15995.4,auto
IOC,2019-08-27,125.75,oil_refineries
DRREDDY,2019-08-27,2540.7,pharmaceuticals
BAJAJFINSV,2019-08-27,7126.5,finance
TITAN,2019-08-27,1123.7,other
TECHM,2019-08-27,676.35,it
ULTRACEMCO,2019-08-27,4135.7,chemical
UPL,2019-08-27,556.0,chemical
M&M,2019-08-27,554.05,auto
HCLTECH,2019-08-27,546.55,it
NESTLEIND,2019-08-27,12472.35,food
WIPRO,2019-08-27,250.1,it
BAJAJ-AUTO,2019-08-27,2766.5,auto
BRITANNIA,2019-08-27,2685.9,food
JSWSTEEL,2019-08-27,213.4,iron_steel
GRASIM,2019-08-27,723.95,other
GAIL,2019-08-27,130.2,oil_refineries
HEROMOTOCO,2019-08-27,2614.45,auto
HINDALCO,2019-08-27,181.2,iron_steel
INFRATEL,2019-08-27,245.05,telecommunications
CIPLA,2019-08-27,465.35,pharmaceuticals
ADANIPORTS,2019-08-27,372.05,infra
RELIANCE,2019-08-26,1266.8,oil_refineries
SBIN,2019-08-26,280.2,banks
ICICIBANK,2019-08-26,411.65,banks
HDFCBANK,2019-08-26,1128.07,banks
BPCL,2019-08-26,335.4,oil_refineries
YESBANK,2019-08-26,62.9,banks
BAJFINANCE,2019-08-26,7190.8,finance
INDUSINDBK,2019-08-26,1348.5,banks
HDFC,2019-08-26,2148.35,finance
TCS,2019-08-26,2276.3,it
AXISBANK,2019-08-26,683.7,banks
LT,2019-08-26,1333.65,infra
TATAMOTORS,2019-08-26,110.55,auto
KOTAKBANK,2019-08-26,1512.8,banks
BHARTIARTL,2019-08-26,360.65,telecommunications
INFY,2019-08-26,802.55,it
POWERGRID,2019-08-26,202.9,power
MARUTI,2019-08-26,6255.55,auto
ONGC,2019-08-26,123.75,oil_refineries
TATASTEEL,2019-08-26,338.05,iron_steel
ASIANPAINT,2019-08-26,1597.55,chemical
HINDUNILVR,2019-08-26,1876.55,personal_care
SUNPHARMA,2019-08-26,419.35,pharmaceuticals
NTPC,2019-08-26,120.05,power
ZEEL,2019-08-26,364.9,media_entmt
COALINDIA,2019-08-26,188.75,mining
ITC,2019-08-26,242.5,other
VEDL,2019-08-26,135.05,mining
EICHERMOT,2019-08-26,15548.2,auto
IOC,2019-08-26,125.5,oil_refineries
DRREDDY,2019-08-26,2567.2,pharmaceuticals
BAJAJFINSV,2019-08-26,7190.8,finance
TITAN,2019-08-26,1102.45,other
TECHM,2019-08-26,691.15,it
ULTRACEMCO,2019-08-26,4038.4,chemical
UPL,2019-08-26,549.8,chemical
M&M,2019-08-26,544.3,auto
HCLTECH,2019-08-26,546.42,it
NESTLEIND,2019-08-26,12391.35,food
WIPRO,2019-08-26,249.1,it
BAJAJ-AUTO,2019-08-26,2736.8,auto
